"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 02 11:08:40 CST 2021","Tue Mar 02 11:08:47 CST 2021","7421","case","test_login_phone","TestClass","","","输入账号密码点击显密测试",""
"passed","Tue Mar 02 10:56:06 CST 2021","Tue Mar 02 10:56:06 CST 2021","1","case","test_help_feedback2","TestClass17","","","查看记录(由于有bug该部分内容还未写)",""
"passed","Tue Mar 02 10:27:00 CST 2021","Tue Mar 02 10:27:03 CST 2021","3420","case","test_air_install","TestClass2","","","购买日期选择",""
"passed","Tue Mar 02 10:27:08 CST 2021","Tue Mar 02 10:27:12 CST 2021","3654","case","test_air_install","TestClass2","","","物流状态选择",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","QQ登录成功测试",""
"passed","Tue Mar 02 10:58:26 CST 2021","Tue Mar 02 10:58:31 CST 2021","5417","case","test_instructions","TestClass2","","","通过不带W的型号查询说明书",""
"passed","Tue Mar 02 10:41:44 CST 2021","Tue Mar 02 10:41:51 CST 2021","6738","case","test_family_list","TestClass2","","","未输入家庭名称点击确认测试",""
"broken","Tue Mar 02 10:37:43 CST 2021","Tue Mar 02 10:38:04 CST 2021","21002","case","test_boot","TestClass","","","点击同意隐私声明按钮测试",""
"passed","Tue Mar 02 11:11:44 CST 2021","Tue Mar 02 11:11:48 CST 2021","3323","case","test_login_register","TestClass","","","点击返回键，页面跳转到设备页测试",""
"passed","Tue Mar 02 11:13:36 CST 2021","Tue Mar 02 11:13:44 CST 2021","7453","case","test_person","TestClass2","","","昵称未空点击取消按钮测试",""
"passed","Tue Mar 02 11:35:51 CST 2021","Tue Mar 02 11:36:00 CST 2021","8435","case","test_scene_no","TestClass","","","点击返回按钮测试",""
"passed","Tue Mar 02 11:22:31 CST 2021","Tue Mar 02 11:22:38 CST 2021","6449","case","test_room_list","TestClass","","","输入汉字",""
"passed","Tue Mar 02 10:44:45 CST 2021","Tue Mar 02 10:44:51 CST 2021","6014","case","test_family_list","TestClass3","","","勾选家庭，进入设备列表页测试",""
"passed","Tue Mar 02 11:41:19 CST 2021","Tue Mar 02 11:41:39 CST 2021","19656","case","test_setting","TestClass3","","","消息免打扰开启和关闭切换测试",""
"passed","Tue Mar 02 10:42:10 CST 2021","Tue Mar 02 10:42:16 CST 2021","6182","case","test_family_list","TestClass2","","","未输入家庭名称点击取消测试",""
"passed","Tue Mar 02 11:23:30 CST 2021","Tue Mar 02 11:23:37 CST 2021","6946","case","test_room_list","TestClass2","","","修改房间名称",""
"passed","Tue Mar 02 10:45:13 CST 2021","Tue Mar 02 10:45:18 CST 2021","5426","case","test_help_feedback2","TestClass1","","","帮助项展示",""
"passed","Tue Mar 02 10:54:46 CST 2021","Tue Mar 02 10:55:06 CST 2021","19920","case","test_help_feedback2","TestClass15","","","手机号未填",""
"passed","Tue Mar 02 11:16:02 CST 2021","Tue Mar 02 11:16:06 CST 2021","3392","case","test_person","TestClass3","","","默认姓名点击取消按钮测试",""
"passed","Tue Mar 02 10:27:12 CST 2021","Tue Mar 02 10:27:14 CST 2021","2414","case","test_air_install","TestClass2","","","预约日期选择",""
"passed","Tue Mar 02 11:51:43 CST 2021","Tue Mar 02 11:51:55 CST 2021","11908","case","test_virtual","TestClass","","","送风模式下点击舒风",""
"passed","Tue Mar 02 11:37:15 CST 2021","Tue Mar 02 11:37:22 CST 2021","6862","case","test_scene_no","TestClass1","","","点击确定按钮测试",""
"passed","Tue Mar 02 11:56:38 CST 2021","Tue Mar 02 11:56:47 CST 2021","9288","case","test_virtual","TestClass","","","关机状态下点击定时功能",""
"broken","Tue Mar 02 11:51:09 CST 2021","Tue Mar 02 11:51:24 CST 2021","15015","case","test_virtual","TestClass","","","送风模式下点击ECO",""
"passed","Tue Mar 02 11:55:40 CST 2021","Tue Mar 02 11:55:50 CST 2021","9289","case","test_virtual","TestClass","","","开机状态下点击定时功能",""
"broken","Tue Mar 02 10:25:20 CST 2021","Tue Mar 02 10:25:20 CST 2021","0","case","test_air_install","TestClass","","","进入页面",""
"passed","Tue Mar 02 11:10:21 CST 2021","Tue Mar 02 11:10:26 CST 2021","4440","case","test_login_register","TestClass","","","点击用户协议测试",""
"passed","Tue Mar 02 11:50:12 CST 2021","Tue Mar 02 11:50:22 CST 2021","9500","case","test_virtual","TestClass","","","除湿模式下点击舒风",""
"passed","Tue Mar 02 11:09:07 CST 2021","Tue Mar 02 11:09:09 CST 2021","1881","case","test_login_phone","TestClass","","","未输入账号密码点击显密测试",""
"passed","Tue Mar 02 10:53:03 CST 2021","Tue Mar 02 10:53:09 CST 2021","6304","case","test_help_feedback2","TestClass12","","","不可点状态：内容未输入",""
"passed","Tue Mar 02 10:47:12 CST 2021","Tue Mar 02 10:47:20 CST 2021","7738","case","test_help_feedback2","TestClass3","","","添加空调设备详情",""
"passed","Tue Mar 02 10:46:31 CST 2021","Tue Mar 02 10:46:37 CST 2021","5446","case","test_help_feedback2","TestClass2","","","第三方账号登录详情",""
"skipped","Tue Mar 02 10:28:51 CST 2021","Tue Mar 02 10:28:51 CST 2021","0","case","test_air_install","TestClass6","","","正确提交",""
"passed","Tue Mar 02 11:19:53 CST 2021","Tue Mar 02 11:19:59 CST 2021","6386","case","test_person","TestClass4","","","点击性别女按钮测试",""
"passed","Tue Mar 02 11:21:56 CST 2021","Tue Mar 02 11:21:59 CST 2021","2997","case","test_person","TestClass7","","","点击返回按钮，跳转至我的页面测试",""
"passed","Tue Mar 02 11:11:07 CST 2021","Tue Mar 02 11:11:21 CST 2021","14100","case","test_login_register","TestClass","","","未勾选同意，验证码错误点击注册失败测试",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","第三方平台绑定测试",""
"passed","Tue Mar 02 11:50:40 CST 2021","Tue Mar 02 11:50:50 CST 2021","9843","case","test_virtual","TestClass","","","除湿模式下点击电加热",""
"passed","Tue Mar 02 11:22:38 CST 2021","Tue Mar 02 11:22:45 CST 2021","6785","case","test_room_list","TestClass","","","输入超过20位汉字",""
"broken","Tue Mar 02 11:54:52 CST 2021","Tue Mar 02 11:55:21 CST 2021","28500","case","test_virtual","TestClass","","","开机状态下点击睡眠diy功能",""
"passed","Tue Mar 02 11:18:25 CST 2021","Tue Mar 02 11:18:33 CST 2021","8038","case","test_person","TestClass3","","","1-20位姓名点击确认按钮测试",""
"passed","Tue Mar 02 11:43:38 CST 2021","Tue Mar 02 11:43:44 CST 2021","5836","case","test_setting","TestClass6","","","点击取消按钮，关闭去评价弹框测试",""
"passed","Tue Mar 02 11:57:05 CST 2021","Tue Mar 02 11:57:15 CST 2021","9486","case","test_virtual","TestClass","","","关机状态下点击设备运行日志功能",""
"passed","Tue Mar 02 10:45:44 CST 2021","Tue Mar 02 10:45:47 CST 2021","3204","case","test_help_feedback2","TestClass1","","","场景模式展示",""
"passed","Tue Mar 02 10:28:36 CST 2021","Tue Mar 02 10:28:50 CST 2021","14417","case","test_air_install","TestClass5","","","购买日期未选择",""
"passed","Tue Mar 02 10:46:21 CST 2021","Tue Mar 02 10:46:27 CST 2021","5639","case","test_help_feedback2","TestClass2","","","账号登录详情",""
"passed","Tue Mar 02 10:49:14 CST 2021","Tue Mar 02 10:49:19 CST 2021","5803","case","test_help_feedback2","TestClass5","","","设备控制页显示发生故障详情",""
"passed","Tue Mar 02 11:06:24 CST 2021","Tue Mar 02 11:06:27 CST 2021","3642","case","test_login_phone","TestClass","","","点击用户协议测试",""
"passed","Tue Mar 02 11:05:57 CST 2021","Tue Mar 02 11:06:04 CST 2021","6264","case","test_login_phone","TestClass","","","输入手机号时点击清除按钮测试",""
"broken","Tue Mar 02 10:25:51 CST 2021","Tue Mar 02 10:25:51 CST 2021","0","case","test_air_install","TestClass","","","进入工单查询页面",""
"broken","Tue Mar 02 10:57:15 CST 2021","Tue Mar 02 10:57:20 CST 2021","5304","case","test_instructions","TestClass","","","跳转到拆洗教程页",""
"passed","Tue Mar 02 10:45:27 CST 2021","Tue Mar 02 10:45:32 CST 2021","4149","case","test_help_feedback2","TestClass1","","","设备添加展示",""
"passed","Tue Mar 02 10:57:42 CST 2021","Tue Mar 02 10:57:49 CST 2021","6770","case","test_instructions","TestClass1","","","通过带W的型号查询说明书",""
"passed","Tue Mar 02 11:36:47 CST 2021","Tue Mar 02 11:36:54 CST 2021","7241","case","test_scene_no","TestClass1","","","点击选择设备按钮测试",""
"passed","Tue Mar 02 10:48:50 CST 2021","Tue Mar 02 10:48:58 CST 2021","8162","case","test_help_feedback2","TestClass5","","","空调设备电量功能异常详情",""
"passed","Tue Mar 02 10:55:30 CST 2021","Tue Mar 02 10:55:44 CST 2021","13662","case","test_help_feedback2","TestClass16","","","内容过长未填",""
"passed","Tue Mar 02 11:14:07 CST 2021","Tue Mar 02 11:14:13 CST 2021","5905","case","test_person","TestClass2","","","昵称未空点击确认按钮测试",""
"passed","Tue Mar 02 10:48:01 CST 2021","Tue Mar 02 10:48:06 CST 2021","5258","case","test_help_feedback2","TestClass4","","","空调设备删除详情",""
